NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-30;Home;10 a 19;No;20;460;1017;1;0;3;0;0;15;5;17;6;403;864;761;2301
CATALUNYA;GLOBAL;2021-09-30;Home;10 a 19;Si;0;3;2;0;0;0;0;0;0;0;0;0;2;2;3;1
CATALUNYA;GLOBAL;2021-09-30;Home;20 a 29;No;17;519;533;0;0;3;1;0;9;8;10;7;401;441;881;907
CATALUNYA;GLOBAL;2021-09-30;Home;20 a 29;Si;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;30 a 39;No;21;581;501;2;0;12;6;0;6;15;7;13;483;425;570;835
CATALUNYA;GLOBAL;2021-09-30;Home;30 a 39;Si;0;6;0;0;0;0;0;0;0;0;0;0;5;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Home;40 a 49;No;29;699;482;1;3;26;9;0;13;16;13;16;588;411;332;415
CATALUNYA;GLOBAL;2021-09-30;Home;40 a 49;Si;0;13;2;0;0;0;0;0;0;0;0;0;12;1;1;0
CATALUNYA;GLOBAL;2021-09-30;Home;50 a 59;No;26;618;251;0;0;30;15;0;15;11;14;8;515;228;161;168
CATALUNYA;GLOBAL;2021-09-30;Home;50 a 59;Si;0;19;0;0;1;2;1;0;0;0;0;0;14;0;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;60 a 69;No;10;490;164;1;0;50;27;0;3;7;6;6;424;140;81;120
CATALUNYA;GLOBAL;2021-09-30;Home;60 a 69;Si;0;18;3;0;0;0;0;0;0;0;0;0;10;3;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;70 a 79;No;15;451;129;3;2;55;22;0;14;1;18;1;408;118;22;24
